purl,name,ecosystem,bucket,situation,eol_direct,dead_transitive_count,remediation,alternative_purl,remediation_notes,remediation_source,llm_confidence,dependent_repos,top1_dependent,code_loc,complexity,has_native,unpatched_advisories,repository_url
pkg:hex/jason,jason,hex,dormant,broad,0,0,,,,heuristic,,17654,,,,,0,https://github.com/michalmuskala/jason
pkg:hex/poison,poison,hex,dead,broad,0,0,,,,heuristic,,16084,,,,,0,https://github.com/devinus/poison
pkg:hex/decimal,decimal,hex,dormant,,0,0,,,,,,12007,,,,,0,https://github.com/ericmj/decimal
pkg:hex/connection,connection,hex,dormant,,0,0,,,,,,9518,,,,,0,https://github.com/elixir-ecto/connection
pkg:hex/poolboy,poolboy,hex,dead,broad,0,0,,,,heuristic,,8954,,,,,0,https://github.com/devinus/poolboy
pkg:hex/ssl_verify_fun,ssl_verify_fun,hex,dead,,0,0,,,,,,6748,,,,,0,https://github.com/deadtrickster/ssl_verify_fun.erl
pkg:hex/metrics,metrics,hex,unknown,,0,0,,,,,,6548,,,,,0,https://github.com/benoitc/erlang-metrics
pkg:hex/plug_crypto,plug_crypto,hex,dormant,,0,0,,,,,,4714,,,,,0,https://github.com/elixir-plug/plug_crypto
pkg:hex/telemetry_metrics,telemetry_metrics,hex,dormant,,0,0,,,,,,4510,,,,,0,https://github.com/beam-telemetry/telemetry_metrics
pkg:hex/excoveralls,excoveralls,hex,dormant,,0,0,,,,,,4260,,,,,0,https://github.com/parroty/excoveralls
pkg:hex/parse_trans,parse_trans,hex,unknown,,0,0,,,,,,3410,,,,,0,https://github.com/uwiger/parse_trans
pkg:hex/comeonin,comeonin,hex,dormant,,0,0,,,,,,3241,,,,,0,https://github.com/riverrun/comeonin
pkg:hex/bunt,bunt,hex,dead,,0,0,,,,,,2789,,,,,0,https://github.com/rrrene/bunt
pkg:hex/nimble_parsec,nimble_parsec,hex,dormant,,0,0,,,,,,2725,,,,,0,https://github.com/dashbitco/nimble_parsec
pkg:hex/makeup_elixir,makeup_elixir,hex,dormant,,0,0,,,,,,2561,,,,,0,https://github.com/elixir-makeup/makeup_elixir
pkg:hex/makeup,makeup,hex,dormant,,0,0,,,,,,2501,,,,,0,https://github.com/elixir-makeup/makeup
pkg:hex/jsx,jsx,hex,dead,,0,0,,,,,,2430,,,,,0,https://github.com/talentdeficit/jsx
pkg:hex/tzdata,tzdata,hex,dormant,,0,0,,,,,,2284,,,,,0,https://github.com/lau/tzdata
pkg:hex/uuid,uuid,hex,dormant,broad,0,0,,,,heuristic,,2171,,,,,0,https://github.com/zyro/elixir-uuid
pkg:hex/exjsx,exjsx,hex,dead,,1,1,,,,,,2104,,,,,0,https://github.com/talentdeficit/exjsx
pkg:hex/elixir_make,elixir_make,hex,dormant,,0,0,,,,,,2057,,,,,0,https://github.com/elixir-lang/elixir_make
pkg:hex/combine,combine,hex,unknown,,0,0,,,,,,1818,,,,,0,https://github.com/bitwalker/combine
pkg:hex/cors_plug,cors_plug,hex,unknown,,0,0,,,,,,1480,,,,,0,https://github.com/mschae/cors_plug
pkg:hex/ex_machina,ex_machina,hex,dormant,,0,0,,,,,,1069,,,,,0,https://github.com/beam-community/ex_machina
pkg:hex/sweet_xml,sweet_xml,hex,dormant,broad,0,0,,,,heuristic,,615,,,,,0,https://github.com/kbrw/sweet_xml
pkg:hex/joken,joken,hex,dormant,,0,0,,,,,,578,,,,,0,https://github.com/joken-elixir/joken
