purl,name,ecosystem,bucket,situation,eol_direct,dead_transitive_count,remediation,alternative_purl,remediation_notes,remediation_source,llm_confidence,dependent_repos,top1_dependent,code_loc,complexity,has_native,unpatched_advisories,repository_url
pkg:swift/github.com/google/promises,github.com/google/promises,swiftpm,dead,,1,0,,,,,,1609,,,,,0,https://github.com/google/promises
pkg:swift/github.com/google/GoogleDataTransport,github.com/google/GoogleDataTransport,swiftpm,dormant,,0,0,,,,,,1386,,,,,0,https://github.com/google/googledatatransport
pkg:swift/github.com/google/abseil-cpp-binary,github.com/google/abseil-cpp-binary,swiftpm,dormant,,0,0,,,,,,922,,,,,0,https://github.com/google/abseil-cpp-binary
pkg:swift/github.com/apple/swift-algorithms,github.com/apple/swift-algorithms,swiftpm,dormant,,0,0,,,,,,781,,,,,0,https://github.com/apple/swift-algorithms
pkg:swift/github.com/SnapKit/SnapKit,github.com/SnapKit/SnapKit,swiftpm,dormant,,0,0,,,,,,700,,,,,0,https://github.com/snapkit/snapkit
pkg:swift/github.com/vapor/async-kit,github.com/vapor/async-kit,swiftpm,dormant,,0,0,,,,,,499,,,,,0,https://github.com/vapor/async-kit
pkg:swift/github.com/swift-server/swift-backtrace,github.com/swift-server/swift-backtrace,swiftpm,dead,,1,0,,,,,,445,,,,,0,https://github.com/swift-server/swift-backtrace
pkg:swift/github.com/vapor/console-kit,github.com/vapor/console-kit,swiftpm,dormant,,0,0,,,,,,439,,,,,0,https://github.com/vapor/console-kit
pkg:swift/github.com/realm/realm-core,github.com/realm/realm-core,swiftpm,dormant,,0,0,,,,,,401,,,,,0,https://github.com/realm/realm-core
pkg:swift/github.com/vapor/fluent,github.com/vapor/fluent,swiftpm,dormant,,0,0,,,,,,399,,,,,0,https://github.com/vapor/fluent
pkg:swift/github.com/Quick/Quick,github.com/Quick/Quick,swiftpm,dormant,,0,0,,,,,,367,,,,,0,https://github.com/quick/quick
pkg:swift/github.com/drmohundro/SWXMLHash,github.com/drmohundro/SWXMLHash,swiftpm,dormant,,0,0,,,,,,365,,,,,0,https://github.com/drmohundro/swxmlhash
pkg:swift/github.com/pointfreeco/combine-schedulers,github.com/pointfreeco/combine-schedulers,swiftpm,dormant,,0,0,,,,,,346,,,,,0,https://github.com/pointfreeco/combine-schedulers
pkg:swift/github.com/daltoniam/Starscream,github.com/daltoniam/Starscream,swiftpm,dormant,,0,0,,,,,,336,,,,,0,https://github.com/daltoniam/starscream
pkg:swift/github.com/mxcl/PromiseKit,github.com/mxcl/PromiseKit,swiftpm,dormant,,0,0,,,,,,325,,,,,0,https://github.com/mxcl/promisekit
pkg:swift/github.com/kylef/PathKit,github.com/kylef/PathKit,swiftpm,dormant,,0,0,,,,,,303,,,,,0,https://github.com/kylef/pathkit
pkg:swift/github.com/scottrhoyt/SwiftyTextTable,github.com/scottrhoyt/SwiftyTextTable,swiftpm,unknown,,0,0,,,,,,296,,,,,0,https://github.com/scottrhoyt/swiftytexttable
pkg:swift/github.com/vapor/core,github.com/vapor/core,swiftpm,dead,,1,0,,,,,,270,,,,,0,https://github.com/vapor/core
pkg:swift/github.com/pointfreeco/swift-custom-dump,github.com/pointfreeco/swift-custom-dump,swiftpm,dormant,,0,0,,,,,,254,,,,,0,https://github.com/pointfreeco/swift-custom-dump
pkg:swift/github.com/jpsim/SourceKitten,github.com/jpsim/SourceKitten,swiftpm,dormant,,0,0,,,,,,239,,,,,0,https://github.com/jpsim/sourcekitten
pkg:swift/github.com/pointfreeco/swift-identified-collections,github.com/pointfreeco/swift-identified-collections,swiftpm,dormant,,0,0,,,,,,233,,,,,0,https://github.com/pointfreeco/swift-identified-collections
pkg:swift/github.com/SDWebImage/SDWebImageSwiftUI,github.com/SDWebImage/SDWebImageSwiftUI,swiftpm,dormant,,0,0,,,,,,223,,,,,0,https://github.com/sdwebimage/sdwebimageswiftui
pkg:swift/github.com/vapor/service,github.com/vapor/service,swiftpm,dead,,1,0,,,,,,217,,,,,0,https://github.com/vapor/service
pkg:swift/github.com/vapor/database-kit,github.com/vapor/database-kit,swiftpm,dead,,1,0,,,,,,217,,,,,0,https://github.com/vapor/database-kit
pkg:swift/github.com/Alamofire/AlamofireImage,github.com/Alamofire/AlamofireImage,swiftpm,dormant,,0,0,,,,,,217,,,,,0,https://github.com/alamofire/alamofireimage
