rank,name,repository_url,bucket,science_score,project_score,total_citations,category,sub_category,language,owner_login,owner_name,owner_kind,owner_company,owner_website,ecosystems,package_names,monthly_downloads,dependent_repos,dependent_packages,registry_maintainers,stars,archived,days_since_release,days_since_commit,days_since_push,total_committers,past_year_commits,past_year_committers,dds,past_year_dds,issue_maintainers_count,active_maintainers_count,active_maintainers,past_year_issues,past_year_prs,past_year_issues_closed,past_year_prs_merged,advisories,unpatched_advisories,signals,science_html_url
6,Python Sorted Containers,https://github.com/grantjenks/python-sortedcontainers,dead,95.0,32.838905404969566,0,Scientific Software,Peer-reviewed,Python,grantjenks,Grant Jenks,user,,http://www.grantjenks.com/,"conda,go,pypi","sortedcontainers,github.com/grantjenks/python-sortedcontainers",131556604,23703,414,1,3968,0,1900,,874,24,0,0,0.05221518987341767,0.0,1,0,"",2,0,0,0,0,0,push:874d release:1900d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/2556
18,BlenderProc2,https://github.com/dlr-rm/blenderproc,dormant,100.0,23.24823291493664,0,Scientific Software,Peer-reviewed,Python,DLR-RM,DLR-RM,organization,,https://rm.dlr.de,"pypi,go","blenderproc,github.com/DLR-RM/BlenderProc,github.com/dlr-rm/blenderproc",55377,3,0,3,3636,0,646,,191,69,7,4,0.6832602527727625,0.4285714285714286,4,0,"",32,14,7,4,0,0,push:191d release:646d commits:7 active_maint:0 closed:13 merged:4,https://science.ecosyste.ms/projects/1237
21,Pannellum,https://github.com/mpetroff/pannellum,dormant,100.0,22.905230296709412,0,Scientific Software,Peer-reviewed,JavaScript,mpetroff,Matthew Petroff,user,,https://mpetroff.net/,"npm,maven","pannellum-next,pannellum-extended,org.webjars.npm:pannellum,sorokinsh-pannellum,pannellum",38606,86,21,1,4857,0,1414,,18,48,8,1,0.12107101280558785,0.0,1,0,"",10,3,5,3,2,0,pkg:unpublished push:18d release:1414d commits:8 active_maint:0 closed:8 merged:3 adv:2/0,https://science.ecosyste.ms/projects/2466
35,PyArabic,https://github.com/linuxscout/pyarabic,dormant,100.0,21.43565207426178,0,Scientific Software,Peer-reviewed,Python,linuxscout,Taha Zerrouki (طه زروقي ),user,Bouira University,tahadz.com,pypi,pyarabic,267103,34,7,1,484,0,1503,,195,16,1,1,0.17293233082706772,0.0,1,0,"",2,0,0,0,0,0,push:195d release:1503d commits:1 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/1170
43,Yellowbrick,https://github.com/districtdatalabs/yellowbrick,dead,95.0,25.972600373086067,0,Scientific Software,Peer-reviewed,Python,DistrictDataLabs,District Data Labs,organization,,http://districtdatalabs.com,"conda,pypi","yellowbrick,yellowbrickhotfix",373048,1085,24,3,4397,0,1144,,526,112,0,0,0.6565656565656566,0.0,2,0,"",2,7,0,0,0,0,push:526d release:1144d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/2622
60,PyMatting,https://github.com/pymatting/pymatting,dormant,95.0,24.400603765754475,0,Scientific Software,Peer-reviewed,Python,pymatting,PyMatting,organization,,,"go,conda,pypi","github.com/pymatting/pymatting,pymatting",1507369,109,5,1,1907,0,440,,114,17,8,5,0.5677083333333333,0.625,1,0,"",3,2,0,1,0,0,push:114d release:440d commits:8 active_maint:0 closed:1 merged:1,https://science.ecosyste.ms/projects/2096
62,Surprise,https://github.com/nicolashug/surprise,dormant,95.0,24.377995044600613,0,Scientific Software,Peer-reviewed,Python,NicolasHug,Nicolas Hug,user,,http://nicolas-hug.com,"go,conda,pypi","github.com/NicolasHug/Surprise,scikit-surprise,github.com/nicolashug/surprise",128799,453,5,1,6796,0,802,,61,44,2,1,0.09646302250803862,0.0,1,0,"",4,6,1,0,0,0,push:61d release:802d commits:2 active_maint:0 closed:3 merged:0,https://science.ecosyste.ms/projects/2168
63,Pubmed Parser,https://github.com/titipata/pubmed_parser,dormant,100.0,19.36617367080193,0,Scientific Software,Peer-reviewed,Python,titipata,Titipat Achakulvisut,user,Mahidol University,titipata.github.io,pypi,pubmed-parser,3572,4,1,1,734,0,699,,364,39,1,1,0.68944099378882,0.0,3,0,"",3,2,0,0,0,0,push:364d release:699d commits:1 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/2311
67,DendroPy 5,https://github.com/jeetsukumaran/dendropy,dormant,100.0,19.051858952587068,0,Scientific Software,Peer-reviewed,Python,jeetsukumaran,Jeet Sukumaran,user,http://sukumaranlab.org,http://jeetblogs.org,pypi,dendropy,21664,109,33,3,236,0,421,,17,36,3,2,0.1521832191780822,0.33333333333333337,3,0,"",1,12,0,3,0,0,push:17d release:421d commits:3 active_maint:0 closed:11 merged:3,https://science.ecosyste.ms/projects/489
70,TorchGAN,https://github.com/torchgan/torchgan,dormant,100.0,18.9356429203754,0,Scientific Software,Peer-reviewed,Python,torchgan,torchgan,organization,,,"go,pypi","github.com/torchgan/torchgan,torchgan",11504,11,0,1,1425,0,1746,,1376,10,0,0,0.31404958677685946,0.0,2,0,"",0,1,0,0,0,0,push:1376d release:1746d commits:0 active_maint:0 closed:1 merged:0,https://science.ecosyste.ms/projects/1719
76,Phonemizer,https://github.com/bootphon/phonemizer,dormant,95.0,23.63513057047248,0,Scientific Software,Peer-reviewed,Python,bootphon,CoML,organization,,https://cognitive-ml.fr,pypi,"phonemizer,phonemizer-fork",390944,438,29,2,1556,0,546,,672,15,0,0,0.5764331210191083,0.0,3,0,"",6,0,1,0,0,0,push:672d release:546d commits:0 active_maint:0 closed:1 merged:0,https://science.ecosyste.ms/projects/1656
77,emcee v3,https://github.com/dfm/emcee,dormant,95.0,23.634212766786533,0,Scientific Software,Peer-reviewed,Python,dfm,Dan Foreman-Mackey,user,,https://dfm.io,"alpine,go,conda,pypi","py3-emcee-pyc,py3-emcee,github.com/dfm/emcee,emcee",148138,538,161,1,1596,0,832,,17,78,24,6,0.3528722157092614,0.5416666666666667,2,1,dfm,4,31,0,14,0,0,push:17d release:832d commits:5 active_maint:1 closed:14 merged:14,https://science.ecosyste.ms/projects/2390
78,htmldate,https://github.com/adbar/htmldate,dormant,95.0,23.631932233843873,0,Scientific Software,Peer-reviewed,Python,adbar,Adrien Barbaresi,user,Berlin-Brg. Academy of Sciences (BBAW),adrien.barbaresi.eu,pypi,htmldate,4920761,50,5,1,153,0,577,,32,25,7,2,0.25072886297376096,0.1428571428571429,1,1,adbar,1,8,1,6,0,0,push:32d release:577d commits:7 active_maint:1 closed:7 merged:6,https://science.ecosyste.ms/projects/2177
81,Spleeter,https://github.com/deezer/spleeter,dormant,95.0,23.488145508162887,0,Scientific Software,Peer-reviewed,Python,deezer,Deezer,organization,,http://developers.deezer.com/,"go,pypi,conda","github.com/Deezer/spleeter,spleeter-gpu,spleeter,github.com/deezer/spleeter",28467,87,2,1,28342,0,483,,42,20,1,1,0.65,0.0,5,1,romi1502,10,2,2,1,0,0,push:42d release:483d commits:1 active_maint:1 closed:3 merged:1,https://science.ecosyste.ms/projects/2214
86,Retriever,https://github.com/weecology/retriever,dormant,100.0,18.165830093458318,0,Scientific Software,Peer-reviewed,Python,weecology,Weecology,organization,,http://weecology.org,"conda,pypi",retriever,818,3,0,2,326,0,1553,,493,73,0,0,0.6339901477832512,0.0,2,0,"",4,14,1,0,0,0,push:493d release:1553d commits:0 active_maint:0 closed:6 merged:0,https://science.ecosyste.ms/projects/2958
89,Dynamax,https://github.com/probml/dynamax,dormant,100.0,17.984398426140014,0,Scientific Software,Peer-reviewed,Python,probml,Probabilistic machine learning,organization,,probml.ai,pypi,dynamax,2036,1,1,2,982,0,446,,35,36,8,3,0.6920821114369502,0.375,7,1,slinderman,8,20,0,3,0,0,push:35d release:446d commits:8 active_maint:1 closed:4 merged:3,https://science.ecosyste.ms/projects/228
91,tidytext,https://github.com/juliasilge/tidytext,dormant,95.0,22.716452668292185,0,Scientific Software,Peer-reviewed,R,juliasilge,Julia Silge,user,@posit-pbc,https://juliasilge.com/,"cran,go,conda","tidytext,github.com/juliasilge/tidytext,r-tidytext",42128,194,66,1,1201,0,370,,33,35,5,3,0.2701949860724234,0.4,2,0,"",3,6,1,3,0,0,push:33d release:370d commits:5 active_maint:0 closed:5 merged:3,https://science.ecosyste.ms/projects/3119
96,resampy,https://github.com/bmcfee/resampy,dead,95.0,22.565535537798382,0,Scientific Software,Peer-reviewed,Python,bmcfee,Brian McFee,user,New York University,https://brianmcfee.net,"conda,spack,pypi","resampy,py-resampy",1470571,3118,74,1,283,0,877,,668,10,0,0,0.17372881355932202,0.0,1,0,"",2,0,0,0,0,0,push:668d release:877d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/3085
98,Nashpy,https://github.com/drvinceknight/nashpy,dormant,100.0,17.45915517025356,0,Scientific Software,Peer-reviewed,Python,drvinceknight,Vince Knight,user,"Cardiff University, School of Mathematics",https://fosstodon.org/@vinceknight,"alpine,pypi,conda","py3-nashpy,py3-nashpy-doc,nashpy,py3-nashpy-pyc",5418,38,2,1,372,0,754,,259,20,6,3,0.09933774834437081,0.33333333333333337,1,1,drvinceknight,2,4,0,4,0,0,push:259d release:754d commits:6 active_maint:1 closed:4 merged:4,https://science.ecosyste.ms/projects/2749
102,normflows,https://github.com/vincentstimper/normalizing-flows,dormant,100.0,17.406378261315073,0,Scientific Software,Peer-reviewed,Python,VincentStimper,Vincent Stimper,user,Isomorphic Labs,https://vincentstimper.com/,"go,pypi","github.com/VincentStimper/normalizing-flows,github.com/vincentstimper/normalizing-flows,normflows",2923,2,1,1,956,0,987,,704,14,0,0,0.1615168539325843,0.0,4,0,"",2,4,0,0,0,0,push:704d release:987d commits:0 active_maint:0 closed:1 merged:0,https://science.ecosyste.ms/projects/1090
103,Learning from Crowds with Crowd-Kit,https://github.com/toloka/crowd-kit,dormant,100.0,17.28980820421339,0,Scientific Software,Peer-reviewed,Python,Toloka,Toloka,organization,,https://toloka.ai,pypi,crowd-kit,4916,5,3,2,246,0,695,,241,28,13,2,0.6143617021276595,0.23076923076923073,2,0,"",4,3,2,2,0,0,push:241d release:695d commits:10 active_maint:0 closed:4 merged:2,https://science.ecosyste.ms/projects/749
