rank,name,repository_url,bucket,science_score,project_score,total_citations,category,sub_category,language,owner_login,owner_name,owner_kind,owner_company,owner_website,ecosystems,package_names,monthly_downloads,dependent_repos,dependent_packages,registry_maintainers,stars,archived,days_since_release,days_since_commit,days_since_push,total_committers,past_year_commits,past_year_committers,dds,past_year_dds,issue_maintainers_count,active_maintainers_count,active_maintainers,past_year_issues,past_year_prs,past_year_issues_closed,past_year_prs_merged,advisories,unpatched_advisories,signals,science_html_url
1,seaborn,https://github.com/mwaskom/seaborn,active,100.0,34.660008359217315,0,Scientific Software,Peer-reviewed,Python,mwaskom,Michael Waskom,user,@modal-labs,mwaskom.github.io,"alpine,conda,pypi,go","py3-seaborn-pyc,py3-seaborn,seaborn,github.com/mwaskom/seaborn,seaborn-base",27940660,67011,3699,1,13976,0,612,,24,215,18,3,0.21119773210489012,0.2222222222222222,1,1,mwaskom,32,50,13,15,0,0,push:24d release:612d commits:18 active_maint:1 closed:47 merged:15,https://science.ecosyste.ms/projects/1938
2,Hypothesis,https://github.com/hypothesisworks/hypothesis,active,100.0,32.135469402833635,0,Scientific Software,Peer-reviewed,Python,HypothesisWorks,Hypothesis,organization,,http://hypothesis.works,"go,rubygems,pypi,cargo,conda","github.com/HypothesisWorks/Hypothesis,hypothesis-specs,hypothesis,conjecture,github.com/hypothesisworks/hypothesis",12165311,7745,823,2,8818,0,337,,6,371,1050,25,0.5437692410654531,0.4733333333333334,10,5,"Liam-DeVoe,Zac-HD,DRMacIver,tybug,Stranger6667",52,183,28,104,0,0,push:6d release:337d commits:1050 active_maint:5 closed:152 merged:104,https://science.ecosyste.ms/projects/2386
3,Pooch,https://github.com/fatiando/pooch,active,100.0,30.12356538724865,0,Scientific Software,Peer-reviewed,Python,fatiando,Fatiando a Terra,organization,,https://www.fatiando.org,"alpine,conda,spack,pypi,go","py3-pooch,pooch,py3-pooch-pyc,py-pooch,github.com/fatiando/pooch",6102099,2570,298,2,731,0,630,,10,50,37,7,0.47813411078717205,0.5675675675675675,4,2,"santisoler,leouieda",13,48,5,24,0,0,push:10d release:630d commits:21 active_maint:2 closed:37 merged:24,https://science.ecosyste.ms/projects/2332
4,hdbscan,https://github.com/scikit-learn-contrib/hdbscan,active,95.0,33.32938111378668,0,Scientific Software,Peer-reviewed,Jupyter Notebook,scikit-learn-contrib,scikit-learn-contrib,organization,,http://contrib.scikit-learn.org,"pypi,spack,conda","hdbscan,py-hdbscan",901612,483,120,3,3132,0,619,,48,103,37,10,0.3102702702702703,0.5945945945945945,3,0,"",8,24,0,16,0,0,push:48d release:619d commits:37 active_maint:0 closed:19 merged:16,https://science.ecosyste.ms/projects/3050
5,rustworkx,https://github.com/qiskit/rustworkx,active,100.0,28.28505666298949,0,Scientific Software,Peer-reviewed,Rust,Qiskit,Qiskit,organization,,https://www.ibm.com/quantum/qiskit,"pypi,spack,cargo","retworkx,py-rustworkx,rustworkx-core,rustworkx",3328425,239,36,1,1729,0,351,,1,102,84,21,0.5910714285714286,0.6904761904761905,10,3,"IvanIsCoding,jakelishman,mtreinish",27,50,9,20,0,0,push:1d release:351d commits:58 active_maint:3 closed:35 merged:20,https://science.ecosyste.ms/projects/1358
6,Python Sorted Containers,https://github.com/grantjenks/python-sortedcontainers,dead,95.0,32.838905404969566,0,Scientific Software,Peer-reviewed,Python,grantjenks,Grant Jenks,user,,http://www.grantjenks.com/,"conda,go,pypi","sortedcontainers,github.com/grantjenks/python-sortedcontainers",131556604,23703,414,1,3968,0,1900,,874,24,0,0,0.05221518987341767,0.0,1,0,"",2,0,0,0,0,0,push:874d release:1900d commits:0 active_maint:0 closed:0 merged:0,https://science.ecosyste.ms/projects/2556
7,lifelines,https://github.com/camdavidsonpilon/lifelines,active,100.0,27.331438758977512,0,Scientific Software,Peer-reviewed,Python,CamDavidsonPilon,Cameron Davidson-Pilon,user,@Pioreactor,https://dataorigami.net,"pypi,go,spack,conda","lifelines,github.com/CamDavidsonPilon/lifelines,py-lifelines,github.com/camdavidsonpilon/lifelines",1637209,506,51,1,2588,0,639,,145,124,14,4,0.17512690355329952,0.2142857142857143,1,0,"",12,13,3,2,0,0,push:145d release:639d commits:14 active_maint:0 closed:5 merged:2,https://science.ecosyste.ms/projects/2491
8,ArviZ a unified library for exploratory analysis of Bayesian models in Python,https://github.com/arviz-devs/arviz,active,100.0,27.329771955229504,0,Scientific Software,Peer-reviewed,TeX,arviz-devs,ArviZ,organization,,https://www.arviz.org,"spack,pypi,conda,go","py-arviz,arviz,github.com/arviz-devs/arviz",2108090,958,115,5,1836,0,386,,10,192,52,24,0.8289473684210527,0.7307692307692308,5,2,"OriolAbril,jordandeklerk",24,36,14,17,0,0,push:10d release:386d commits:47 active_maint:2 closed:32 merged:17,https://science.ecosyste.ms/projects/2684
9,Static Code Analysis for R,https://github.com/r-lib/lintr,active,100.0,26.968255506935822,0,Scientific Software,Peer-reviewed,R,r-lib,R infrastructure,organization,,,"cran,go","lintr,github.com/r-lib/lintr",53951,764,169,1,1288,0,533,,7,110,104,11,0.6313156578289145,0.3557692307692307,12,4,"MichaelChirico,Bisaloo,emmanuel-ferdman,hadley",38,53,9,20,0,0,push:7d release:533d commits:93 active_maint:4 closed:30 merged:20,https://science.ecosyste.ms/projects/225
10,Intracranial Electrode Location and Analysis in MNE-Python,https://github.com/mne-tools/mne-python,active,100.0,26.847577715162174,0,Scientific Software,Peer-reviewed,Python,mne-tools,MNE tools for MEG and EEG data analysis,organization,,http://mne.tools,"conda,pypi,go","mne-installer-menus,mne,github.com/mne-tools/mne-python,mne-base",313643,646,149,2,3469,0,353,,8,453,452,81,0.7440525020508614,0.7699115044247787,16,5,"larsoner,drammock,hoechenberger,teonbrooks,sappelhoff",113,359,44,193,0,0,push:8d release:353d commits:358 active_maint:5 closed:262 merged:193,https://science.ecosyste.ms/projects/1603
11,OSMnx,https://github.com/gboeing/osmnx,active,100.0,25.945941277236006,0,Scientific Software,Peer-reviewed,Python,gboeing,Geoff Boeing,user,University of Southern California,https://geoffboeing.com/,"pypi,go,conda","osmnx,github.com/gboeing/osmnx",394749,575,75,1,5790,0,353,,6,94,148,8,0.1465315666406859,0.1351351351351351,1,1,gboeing,11,39,10,30,0,0,push:6d release:353d commits:140 active_maint:1 closed:43 merged:30,https://science.ecosyste.ms/projects/3041
12,PyVISA,https://github.com/pyvisa/pyvisa,active,100.0,24.384202621138158,0,Scientific Software,Peer-reviewed,Python,pyvisa,pyvisa,organization,,,pypi,pyvisa,495349,252,110,4,945,0,485,,10,83,50,9,0.7404795486600846,0.6,2,1,MatthieuDartiailh,7,40,4,27,0,0,push:10d release:485d commits:12 active_maint:1 closed:31 merged:27,https://science.ecosyste.ms/projects/1156
13,PyWavelets,https://github.com/pywavelets/pywt,active,95.0,29.18270708230351,0,Scientific Software,Peer-reviewed,Python,PyWavelets,PyWavelets,organization,,,"spack,conda,pypi,go","py-pywavelets,pywavelets,github.com/pywavelets/pywt,github.com/PyWavelets/pywt",8947069,2426,99,6,2392,0,332,,29,66,39,9,0.6408163265306123,0.4358974358974359,2,1,rgommers,7,27,2,17,0,0,push:29d release:332d commits:30 active_maint:1 closed:21 merged:17,https://science.ecosyste.ms/projects/2602
14,UMAP,https://github.com/lmcinnes/umap,active,95.0,29.096969485842354,0,Scientific Software,Peer-reviewed,Python,lmcinnes,Leland McInnes,user,Tutte Institute for Mathematics and Computing,,"spack,conda,pypi,go","py-umap-learn,umap-learn,github.com/lmcinnes/umap",2294240,2209,370,3,8243,0,395,,54,148,83,12,0.4348623853211009,0.7349397590361446,6,2,"gclendenning,lmcinnes",17,42,3,29,0,0,push:54d release:395d commits:83 active_maint:2 closed:39 merged:29,https://science.ecosyste.ms/projects/2775
15,Mesa 3,https://github.com/projectmesa/mesa,active,100.0,23.77282093792999,0,Scientific Software,Peer-reviewed,Python,projectmesa,Project Mesa,organization,,,"pypi,go,conda","mesa,github.com/projectmesa/mesa,epsteinsovereigncitizens",38447,137,7,5,3118,0,395,,333,222,382,65,0.844213649851632,0.7827225130890052,14,4,"tpike3,EwoutH,quaquel,Sahil-Chhoker",66,340,33,216,0,0,push:333d release:395d commits:347 active_maint:4 closed:308 merged:216,https://science.ecosyste.ms/projects/239
16,SunPy,https://github.com/sunpy/sunpy,active,100.0,23.441476860410262,0,Scientific Software,Peer-reviewed,Python,sunpy,SunPy,organization,,https://www.sunpy.org,"go,conda,pypi","github.com/sunpy/sunpy,sunpy",46774,95,34,4,1029,0,364,,21,269,530,29,0.7963694267515924,0.6113207547169811,21,9,"Cadair,ayshih,nabobalis,wtbarnes,samaloney,alasdairwilson,hayesla,bsipocz,CyclingNinja",58,238,20,154,0,0,push:21d release:364d commits:510 active_maint:9 closed:192 merged:154,https://science.ecosyste.ms/projects/2302
17,anywidget,https://github.com/manzt/anywidget,active,100.0,23.27484756201692,0,Scientific Software,Peer-reviewed,Python,manzt,Trevor Manz,user,marimo,manzt.sh,"npm,conda,spack,deno,pypi","create-anywidget,anywidget,py-anywidget",556807,26,68,1,912,0,364,,13,34,69,7,0.4848101265822785,0.49275362318840576,6,1,manzt,11,50,6,8,0,0,push:13d release:364d commits:39 active_maint:1 closed:32 merged:8,https://science.ecosyste.ms/projects/434
18,BlenderProc2,https://github.com/dlr-rm/blenderproc,dormant,100.0,23.24823291493664,0,Scientific Software,Peer-reviewed,Python,DLR-RM,DLR-RM,organization,,https://rm.dlr.de,"pypi,go","blenderproc,github.com/DLR-RM/BlenderProc,github.com/dlr-rm/blenderproc",55377,3,0,3,3636,0,646,,191,69,7,4,0.6832602527727625,0.4285714285714286,4,0,"",32,14,7,4,0,0,push:191d release:646d commits:7 active_maint:0 closed:13 merged:4,https://science.ecosyste.ms/projects/1237
19,extendr,https://github.com/extendr/extendr,active,100.0,22.945451324319755,0,Scientific Software,Peer-reviewed,Rust,extendr,Extendr,organization,,https://extendr.github.io/,cargo,"aorist_extendr-macros,aorist_extendr-engine,extendr-engine,extendr-ffi,extendr-macros,aorist_extendr-api,extendr-api",0,11,4,6,524,0,383,,20,34,77,8,0.6742424242424243,0.5584415584415585,6,3,"CGMossa,kbvernon,Ilia-Kosenkov",32,57,14,19,0,0,push:20d release:383d commits:67 active_maint:3 closed:41 merged:19,https://science.ecosyste.ms/projects/618
20,mmh3,https://github.com/hajimes/mmh3,active,95.0,27.92936290880473,0,Scientific Software,Peer-reviewed,C,hajimes,Hajime Senuma,user,University of Tokyo,,"alpine,conda,go,pypi","py3-mmh3,mmh3,py3-mmh3-doc,github.com/hajimes/mmh3",15618725,1823,152,1,371,0,366,,24,14,21,2,0.12040133779264217,0.04761904761904767,1,1,hajimes,2,41,1,9,0,0,push:24d release:366d commits:20 active_maint:1 closed:33 merged:9,https://science.ecosyste.ms/projects/318
21,Pannellum,https://github.com/mpetroff/pannellum,dormant,100.0,22.905230296709412,0,Scientific Software,Peer-reviewed,JavaScript,mpetroff,Matthew Petroff,user,,https://mpetroff.net/,"npm,maven","pannellum-next,pannellum-extended,org.webjars.npm:pannellum,sorokinsh-pannellum,pannellum",38606,86,21,1,4857,0,1414,,18,48,8,1,0.12107101280558785,0.0,1,0,"",10,3,5,3,2,0,pkg:unpublished push:18d release:1414d commits:8 active_maint:0 closed:8 merged:3 adv:2/0,https://science.ecosyste.ms/projects/2466
22,SALib,https://github.com/salib/salib,active,100.0,22.81164980691425,0,Scientific Software,Peer-reviewed,Python,SALib,SALib,organization,,http://SALib.github.io/SALib,"go,conda,pypi","github.com/salib/salib,github.com/SALib/SALib,salib",157596,64,19,3,994,0,710,,13,55,80,7,0.5509202453987729,0.30000000000000004,4,1,ConnectedSystems,7,10,0,4,0,0,push:13d release:710d commits:80 active_maint:1 closed:4 merged:4,https://science.ecosyste.ms/projects/3074
23,FreqAI,https://github.com/freqtrade/freqtrade,active,95.0,27.745233619454925,0,Scientific Software,Peer-reviewed,Python,freqtrade,freqtrade,organization,,,pypi,"freqtrade-client,freqtrade",75723,16,1,2,52661,0,558,,3,397,2502,45,0.4624667043344902,0.38808952837729815,15,2,"xmatthias,robcaulk",131,243,87,145,0,0,push:3d release:558d commits:1965 active_maint:2 closed:263 merged:145,https://science.ecosyste.ms/projects/1298
